WKT,fid,NAME,COLOR,ALTURANUM
"MULTIPOLYGON (((5687134.42344747 6141106.77480702,5687135.88327393 6141106.68001693,5687137.33293211 6141106.483625,5687138.76535927 6141106.186589,5687140.17357678 6141105.79035518,5687141.55072428 6141105.29685421,5687142.89009233 6141104.70849053,5687144.18515547 6141104.02813024,5687145.42960445 6141103.2590885,5687146.61737609 6141102.40511164,5687147.74268421 6141101.47036002,5687148.80004623 6141100.45938818,5687149.78431066 6141099.37712107,5687150.69068216 6141098.22883135,5687151.51474532 6141097.02011367,5687152.25248535 6141095.75685656,5687152.90030773 6141094.4452144,5687153.4550564 6141093.09157782,5687153.91402904 6141091.70254097,5687154.27498926 6141090.28487161,5687154.53617846 6141088.84547636,5687154.69632441 6141087.39136755,5687154.75464665 6141085.92962988,5687154.71086115 6141084.46738446,5687154.56518123 6141083.01175543,5687154.31831651 6141081.56983416,5687153.97146994 6141080.14864595,5687153.52633107 6141078.75511443,5687152.98506861 6141077.39602864,5687152.35031986 6141076.0780104,5687151.62517687 6141074.80748034,5687150.81317243 6141073.5906288,5687149.91826285 6141072.43338407,5687148.94480808 6141071.34138392,5687147.89755036 6141070.31994874,5687146.78159192 6141069.37405485,5687145.60236973 6141068.50831037,5687144.36562901 6141067.72693291,5687143.07739456 6141067.03372988,5687141.74394284 6141066.43207813,5687140.37177013 6141065.92490863,5687138.96756173 6141065.51469287,5687137.53815891 6141065.2034288,5687136.09052522 6141064.9926329,5687134.63171339 6141064.88333248,5687133.16883077 6141064.87605986,5687131.70900453 6141064.97085053,5687130.25934668 6141065.16724262,5687128.82691969 6141065.46427948,5687127.41870216 6141065.86051366,5687126.04155492 6141066.35401471,5687124.70218717 6141066.94237892,5687123.40712461 6141067.6227392,5687122.16267599 6141068.39178112,5687120.97490451 6141069.24575837,5687119.84959679 6141070.18050983,5687118.79223518 6141071.19148169,5687117.8079714 6141072.27374876,5687116.90160007 6141073.42203839,5687116.0775373 6141074.63075592,5687115.33979787 6141075.89401283,5687114.69197582 6141077.20565474,5687114.1372272 6141078.55929103,5687113.67825481 6141079.94832755,5687113.31729504 6141081.36599655,5687113.05610574 6141082.80539142,5687112.89596012 6141084.25949981,5687112.83763792 6141085.72123707,5687112.8814234 6141087.18348208,5687113.02710324 6141088.6391107,5687113.27396759 6141090.08103159,5687113.62081421 6141091.50221942,5687114.0659526 6141092.89575061,5687114.60721479 6141094.25483609,5687115.24196345 6141095.57285407,5687115.96710608 6141096.84338391,5687116.77910991 6141098.06023529,5687117.67401909 6141099.21747991,5687118.64747368 6141100.30948001,5687119.69473075 6141101.3309152,5687120.81068878 6141102.27680916,5687121.98991059 6141103.142554,5687123.22665116 6141103.92393139,5687124.51488527 6141104.61713464,5687125.84833644 6141105.2187869,5687127.22050887 6141105.72595648,5687128.62471705 6141106.13617283,5687130.05411993 6141106.44743727,5687131.50175348 6141106.65823308,5687132.96056501 6141106.76753415,5687134.42344747 6141106.77480702)))",1,Destiladotkg1,AMARILLO,24
"MULTIPOLYGON (((5687210.33110429 6141187.42599263,5687211.7953593 6141187.33091572,5687213.2494152 6141187.13392899,5687214.68618802 6141186.83599258,5687216.09867803 6141186.43855747,5687217.48000334 6141185.94356019,5687218.82343493 6141185.3534122,5687220.12242704 6141184.67098883,5687221.37065167 6141183.89961485,5687222.56202708 6141183.04304786,5687223.69074937 6141182.10546143,5687224.75131964 6141181.09142321,5687225.73857038 6141180.00587343,5687226.64769241 6141178.85410069,5687227.47425604 6141177.64171674,5687228.21423459 6141176.37462766,5687228.86402289 6141175.059007,5687229.42045542 6141173.70126429,5687229.88082115 6141172.30801398,5687230.24287715 6141170.88604408,5687230.50485948 6141169.44228236,5687230.665492 6141167.98376251,5687230.72399202 6141166.51759053,5687230.6800745 6141165.05090904,5687230.53395339 6141163.59086413,5687230.28634063 6141162.14456856,5687229.93844265 6141160.71906878,5687229.49195419 6141159.3213095,5687228.94905051 6141157.95810056,5687228.31237668 6141156.63608359,5687227.58503465 6141155.361699,5687226.77056775 6141154.14115541,5687225.87294409 6141152.98039961,5687224.89653652 6141151.88508616,5687223.84610254 6141150.86055173,5687222.72675917 6141149.91178769,5687221.54396025 6141149.04341622,5687220.30346811 6141148.25966778,5687219.01132599 6141147.56436118,5687217.67382955 6141146.96088342,5687216.29749439 6141146.45217469,5687214.88902658 6141146.04071349,5687213.45528737 6141145.72850433,5687212.00326218 6141145.51706832,5687210.54002505 6141145.40743568,5687209.07270465 6141145.40014007,5687207.60844977 6141145.49521762,5687206.15439398 6141145.69220452,5687204.71762156 6141145.99014154,5687203.30513177 6141146.38757701,5687201.92380648 6141146.88257463,5687200.58037544 6141147.47272289,5687199.28138366 6141148.15514649,5687198.03315941 6141148.92652067,5687196.84178438 6141149.78308779,5687195.71306227 6141150.72067431,5687194.65249265 6141151.73471255,5687193.66524209 6141152.8202623,5687192.7561207 6141153.97203494,5687191.92955746 6141155.18441874,5687191.18957927 6141156.45150763,5687190.53979107 6141157.76712803,5687189.98335907 6141159.12487044,5687189.52299359 6141160.51812042,5687189.1609378 6141161.94008996,5687188.89895562 6141163.38385129,5687188.73832319 6141164.84237073,5687188.6798232 6141166.3085423,5687188.72374071 6141167.77522337,5687188.86986174 6141169.23526787,5687189.11747437 6141170.68156305,5687189.46537215 6141172.10706246,5687189.91186038 6141173.5048214,5687190.45476378 6141174.86803003,5687191.09143704 6141176.19004674,5687191.81877896 6141177.46443111,5687192.63324547 6141178.68497455,5687193.53086873 6141179.84573023,5687194.50727565 6141180.94104364,5687195.55770945 6141181.96557807,5687196.67705217 6141182.91434218,5687197.85985093 6141183.78271376,5687199.10034269 6141184.56646237,5687200.39248446 6141185.2617692,5687201.72998059 6141185.86524723,5687203.10631523 6141186.37395629,5687204.51478306 6141186.78541784,5687205.94852209 6141187.09762736,5687207.40054691 6141187.30906355,5687208.86378399 6141187.41869683,5687210.33110429 6141187.42599263)))",2,Destiladotkg2,AMARILLO,24
"MULTIPOLYGON (((5687275.91949965 6141203.48690917,5687276.47084619 6141203.45110928,5687277.01835236 6141203.37693648,5687277.55935075 6141203.26475238,5687278.09120585 6141203.11510345,5687278.61132627 6141202.92871855,5687279.11717823 6141202.70650605,5687279.60629713 6141202.44954835,5687280.07630004 6141202.15909741,5687280.5248974 6141201.83656801,5687280.94990341 6141201.48353193,5687281.3492474 6141201.10170877,5687281.72098434 6141200.69295897,5687282.06330248 6141200.25927401,5687282.37453446 6141199.80276635,5687282.65316396 6141199.32566033,5687282.89783372 6141198.83028008,5687283.10735115 6141198.31903949,5687283.28069611 6141197.79442914,5687283.41702361 6141197.25900451,5687283.51566995 6141196.71537461,5687283.57615418 6141196.16618757,5687283.59818157 6141195.61411936,5687283.5816451 6141195.06185942,5687283.52662534 6141194.51209802,5687283.43339004 6141193.96751408,5687283.30239348 6141193.4307602,5687283.13427423 6141192.90445194,5687282.92985088 6141192.39115297,5687282.69011982 6141191.89336434,5687282.41624839 6141191.41351115,5687282.10957144 6141190.95393112,5687281.7715829 6141190.51686324,5687281.40392942 6141190.10443692,5687281.0084018 6141189.71866152,5687280.5869277 6141189.36141633,5687280.14155996 6141189.03444208,5687279.67446844 6141188.73933164,5687279.18792908 6141188.4775227,5687278.68431196 6141188.25029075,5687278.16607066 6141188.05874271,5687277.63573015 6141187.90381228,5687277.09587398 6141187.78625364,5687276.54913254 6141187.70664002,5687275.99816931 6141187.66535898,5687275.44566854 6141187.66261177,5687274.89432225 6141187.69841183,5687274.34681609 6141187.77258468,5687273.80581772 6141187.88476883,5687273.27396266 6141188.03441805,5687272.75384227 6141188.22080276,5687272.24799036 6141188.44301554,5687271.75887151 6141188.69997328,5687271.28886866 6141188.99042424,5687270.84027134 6141189.31295342,5687270.41526539 6141189.66598951,5687270.01592146 6141190.04781268,5687269.64418458 6141190.45656248,5687269.3018665 6141190.89024766,5687268.99063458 6141191.3467553,5687268.71200513 6141191.82386128,5687268.46733565 6141192.31924125,5687268.25781802 6141192.83048181,5687268.08447311 6141193.35509235,5687267.94814562 6141193.89051669,5687267.84949931 6141194.43414677,5687267.78901509 6141194.98333352,5687267.76698771 6141195.53540191,5687267.78352418 6141196.08766179,5687267.83854392 6141196.63742289,5687267.93177921 6141197.18200701,5687268.06277573 6141197.7187606,5687268.23089496 6141198.24506905,5687268.43531826 6141198.75836774,5687268.67504952 6141199.25615632,5687268.94892066 6141199.73600974,5687269.25559755 6141200.19558974,5687269.59358604 6141200.63265761,5687269.96123945 6141201.04508368,5687270.35676701 6141201.43085908,5687270.77824105 6141201.78810428,5687271.22360874 6141202.11507855,5687271.69070021 6141202.41018925,5687272.17723953 6141202.67199823,5687272.6808566 6141202.89923021,5687273.19909786 6141203.09077806,5687273.72943834 6141203.24570878,5687274.26929447 6141203.36326723,5687274.8160359 6141203.44288091,5687275.36699912 6141203.484162,5687275.91949965 6141203.48690917)))",3,Destiladotkc1,AMARILLO,22
"MULTIPOLYGON (((5687235.16110113 6141241.95717558,5687235.71698976 6141241.92108107,5687236.26900649 6141241.84629711,5687236.81446169 6141241.73318899,5687237.35069828 6141241.58230739,5687237.87510381 6141241.3943873,5687238.38512301 6141241.17034418,5687238.87827151 6141240.91126959,5687239.35214663 6141240.61842588,5687239.80443964 6141240.29323986,5687240.23294694 6141239.93729552,5687240.63558111 6141239.55232681,5687241.01038019 6141239.14020993,5687241.35551882 6141238.70295206,5687241.6693149 6141238.24268351,5687241.95024003 6141237.76164712,5687242.19692532 6141237.26218596,5687242.40816902 6141236.74673377,5687242.58294202 6141236.21780144,5687242.7203931 6141235.67796612,5687242.819852 6141235.12985752,5687242.88083462 6141234.57614631,5687242.90304377 6141234.01952999,5687242.88637121 6141233.46272023,5687242.83089817 6141232.90842996,5687242.73689495 6141232.35935948,5687242.60481962 6141231.81818395,5687242.43531516 6141231.28753957,5687242.229208 6141230.77001218,5687241.98750202 6141230.26812242,5687241.71137475 6141229.78431608,5687241.40217136 6141229.32094968,5687241.06139852 6141228.88028112,5687240.69071605 6141228.46445709,5687240.2919305 6141228.07550343,5687239.8669841 6141227.7153152,5687239.4179475 6141227.38564717,5687238.94700815 6141227.08810526,5687238.45646047 6141226.82413927,5687237.94869444 6141226.59503532,5687237.42618394 6141226.40190924,5687236.89147422 6141226.24570224,5687236.34717072 6141226.12717502,5687235.79592519 6141226.04690518,5687235.24042295 6141226.00528415,5687234.6833706 6141226.0025141,5687234.12748222 6141226.038609,5687233.57546549 6141226.11339254,5687233.03001032 6141226.22650095,5687232.49377376 6141226.37738284,5687231.96936827 6141226.56530298,5687231.45934912 6141226.78934614,5687230.96620066 6141227.04842053,5687230.49232559 6141227.34126426,5687230.04003265 6141227.66645054,5687229.61152541 6141228.02239489,5687229.20889129 6141228.40736337,5687228.83409228 6141228.81948048,5687228.4889537 6141229.25673834,5687228.17515767 6141229.71700663,5687227.89423261 6141230.19804323,5687227.64754736 6141230.69750412,5687227.43630371 6141231.2129565,5687227.26153073 6141231.74188854,5687227.12407969 6141232.28172405,5687227.02462081 6141232.82983235,5687226.96363821 6141233.38354351,5687226.94142905 6141233.94015977,5687226.95810161 6141234.49696946,5687227.01357464 6141235.05125968,5687227.10757784 6141235.6003301,5687227.23965316 6141236.14150581,5687227.40915757 6141236.67214991,5687227.6152647 6141237.1896775,5687227.85697062 6141237.69156697,5687228.13309785 6141238.17537352,5687228.44230117 6141238.63873966,5687228.78307397 6141239.07940844,5687229.15375638 6141239.49523246,5687229.55254185 6141239.88418589,5687229.97748821 6141240.24437436,5687230.42652475 6141240.57404241,5687230.89746404 6141240.87158411,5687231.38801167 6141241.13555013,5687231.89577766 6141241.36465437,5687232.41828812 6141241.55778049,5687232.95299781 6141241.71398753,5687233.49730128 6141241.83251457,5687234.04854678 6141241.91278423,5687234.60404902 6141241.9544058,5687235.16110113 6141241.95717558)))",4,Destiladotkc2,AMARILLO,22
"MULTIPOLYGON (((5687066.36374922 6141295.02449245,5687066.9557853 6141294.98605097,5687067.54369752 6141294.90640435,5687068.12462168 6141294.7859415,5687068.69572781 6141294.62524881,5687069.25423334 6141294.42510907,5687069.79741729 6141294.18649759,5687070.32263349 6141293.91057662,5687070.82732306 6141293.59869049,5687071.30902707 6141293.25235904,5687071.76539878 6141292.87326908,5687072.19421479 6141292.46326767,5687072.59338602 6141292.02435221,5687072.96096768 6141291.55866136,5687073.29516896 6141291.06846346,5687073.59436176 6141290.55614705,5687073.85708828 6141290.02420817,5687074.08206865 6141289.475238,5687074.26820664 6141288.9119112,5687074.41459565 6141288.3369724,5687074.52052235 6141287.7532225,5687074.58547063 6141287.16350563,5687074.6091242 6141286.57069452,5687074.59136769 6141285.97767762,5687074.53228762 6141285.38734402,5687074.43217194 6141284.80256936,5687074.29150828 6141284.22620327,5687074.11098197 6141283.66105319,5687073.89147266 6141283.10987255,5687073.63404953 6141282.57534682,5687073.3399669 6141282.06008005,5687073.01065735 6141281.56658292,5687072.64772545 6141281.09725905,5687072.25293924 6141280.65439551,5687071.82822209 6141280.24014947,5687071.37564324 6141279.85653937,5687070.89740754 6141279.50543404,5687070.39584491 6141279.18854397,5687069.87339885 6141278.90741326,5687069.33261477 6141278.66341118,5687068.77612741 6141278.45772678,5687068.20664776 6141278.29136193,5687067.62695026 6141278.16512712,5687067.03985933 6141278.07963751,5687066.44823499 6141278.03530983,5687065.85495953 6141278.03235942,5687065.26292361 6141278.07080128,5687064.67501139 6141278.15044748,5687064.09408726 6141278.27091064,5687063.52298118 6141278.43160363,5687062.96447569 6141278.63174342,5687062.42129179 6141278.87035495,5687061.89607564 6141279.14627596,5687061.39138637 6141279.45816186,5687060.90968242 6141279.80449358,5687060.45331078 6141280.18358355,5687060.02449484 6141280.59358497,5687059.62532368 6141281.03250042,5687059.25774209 6141281.49819126,5687058.92354064 6141281.98838914,5687058.62434812 6141282.50070527,5687058.36162167 6141283.03264435,5687058.13664134 6141283.58161447,5687057.95050315 6141284.14494123,5687057.80411442 6141284.71987995,5687057.69818773 6141285.30362955,5687057.63323948 6141285.8933466,5687057.60958591 6141286.4861574,5687057.62734241 6141287.07917423,5687057.68642248 6141287.66950801,5687057.78653813 6141288.25428236,5687057.92720177 6141288.83064863,5687058.10772779 6141289.39579866,5687058.3272373 6141289.94697924,5687058.58466037 6141290.48150493,5687058.87874295 6141290.99677142,5687059.20805219 6141291.49026878,5687059.57098427 6141291.95959263,5687059.96577041 6141292.40245615,5687060.39048749 6141292.81670219,5687060.84306628 6141293.20031231,5687061.32130191 6141293.55141765,5687061.82286447 6141293.86830751,5687062.34531025 6141294.1494385,5687062.88609428 6141294.39344063,5687063.44258159 6141294.59912508,5687064.0120612 6141294.76548999,5687064.59175866 6141294.89172462,5687065.17884956 6141294.97721406,5687065.77047391 6141295.02154228,5687066.36374922 6141295.02449245)))",5,AGUA1,VERDE,19
